Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Soda Coca Cola 2lt reciclable bottle,05/01/2023,7,6.14,4.13
Soda Coca Cola 2lt,05/01/2023,7,6.67,5.69
Common Bread kg,05/01/2023,76,8.01,3.92
Milk cream Quata 200gr,05/01/2023,6,2.39,1.84
Tomato Kg,05/01/2023,43,5.73,3.98
Potato kg,05/01/2023,68,4.76,3.58
Zucchini kg,05/01/2023,2,1.69,1.11
Cabbage kg,05/01/2023,14,3.34,1.56
Beetroot kg,05/01/2023,8,3.45,2.48
Yam kg,05/01/2023,13,3.56,2.01
Green Pepper kg,05/01/2023,6,3.79,2.5
Sweet potato kg,05/01/2023,5,3.05,2
Carrots kg,05/01/2023,14,3.41,2.28
Pumpkin kg,05/01/2023,22,2.5,1.25
Oranges kg,05/01/2023,11,2.65,1.8
Garlic Kg,05/01/2023,12,15.29,10
Onion Kg,05/01/2023,26,2.86,1.89
Apple Kg,05/01/2023,23,4.36,2.91
Banana kg,05/01/2023,41,2.52,1.58
Lettuce kg,05/01/2023,56,1.31,0.85
Soy Oil Corcovado 900ml,05/01/2023,62,3.56,2.99
"Pork ""Pernil cut"" boneless kg",05/01/2023,15,10.02,6.57
Ham kg,05/01/2023,3,19.99,12.2
Ground beef kg,05/01/2023,14,12.44,6.75
Generic Ham kg,05/01/2023,2,16.33,8.92
Sweet Bread kg,06/01/2023,16,8.98,15.5
Frozen Chicken kg,06/01/2023,45,5.99,4.58
Salsage kg,06/01/2023,29,6,5.13
Calabrezza Saussage kg,06/01/2023,6,13.38,9.87
Mozarella Cheese kg,06/01/2023,11,27.09,18.53
Dish Soap Ype Clear 500ml,06/01/2023,24,1.8,1.3
Dish Soap Ype Apple 500ml,06/01/2023,5,1.79,1.3
Dish soap Ype Neutro 500ml,06/01/2023,13,1.85,1.3
Rice Albaruska Pilao 5kg,06/01/2023,18,18.05,15.13
Powder juice Frech orange 10gr,06/01/2023,22,0.51,0.33
Tomato sauce Elefante 130g,06/01/2023,20,2.17,1.6
Coffee Mineiro 500gr,06/01/2023,39,6.73,5.5
Milky Drink Quatazinho Chocolate 200ml,06/01/2023,4,0.99,0.56
Fries JR Fritas 300g,06/01/2023,12,7.3,5.5
Coffee Mantiqueira 500g,06/01/2023,16,9.19,6.29
Coffee Santa Barbara kg,06/01/2023,14,7.11,5.24
Chicken Steak Perdigao 100gr,06/01/2023,57,1.15,0.85
Corn Flour Mimoso 1kg,06/01/2023,13,1.88,1.29
Beer Clacial 473ml,06/01/2023,42,1.99,1.92
Salt Marlin 1kg,06/01/2023,61,1.18,0.79
Soy Oil Soya 900ml,06/01/2023,36,3.92,3.18
Wheat Flour Vilma 1kg,06/01/2023,91,3.1,2.72
"Beef ""Acem cut"" kg",06/01/2023,10,18.46,13.12
Bologna Bolonha kg,06/01/2023,3,17.33,11.11
Beer Skol 473ml,06/01/2023,30,2.79,2.45
Corn Flour Moinho Dagua 1kg,06/01/2023,30,3.3,2.2
Soda Coca Cola 2lt reciclable bottle,06/01/2023,13,6.84,4.13
Soda Coca Cola 2lt,06/01/2023,10,6.66,5.69
Common Bread kg,06/01/2023,81,8.02,3.92
Milk cream Quata 200gr,06/01/2023,7,2.41,1.81
Tomato Kg,06/01/2023,88,5.64,3.86
Potato kg,06/01/2023,88,4.76,3.51
Zucchini kg,06/01/2023,3,1.8,1.11
Cabbage kg,06/01/2023,28,2.49,1.48
Beetroot kg,06/01/2023,12,3.79,2.49
Yam kg,06/01/2023,33,3.47,2.07
Green Pepper kg,06/01/2023,11,3.84,2.5
Sweet potato kg,06/01/2023,11,3.15,1.9
Carrots kg,06/01/2023,48,3.42,2.33
Pumpkin kg,06/01/2023,45,2.52,1.23
Oranges kg,06/01/2023,16,2.69,1.72
Garlic Kg,06/01/2023,15,15,10.06
Onion Kg,06/01/2023,45,2.89,1.87
Apple Kg,06/01/2023,32,4.3,2.96
Banana kg,06/01/2023,29,2.5,1.54
Lettuce kg,06/01/2023,53,1.31,0.85
Soy Oil Corcovado 900ml,06/01/2023,90,3.58,2.95
"Pork ""Pernil cut"" boneless kg",06/01/2023,61,10.09,7.44
Ham kg,06/01/2023,4,19.47,12.86
Ground beef kg,06/01/2023,26,12.56,6.97
Generic Ham kg,06/01/2023,3,16.58,10.77
Sweet Bread kg,07/01/2023,11,8.92,2.25
Frozen Chicken kg,07/01/2023,77,6.27,4.91
Salsage kg,07/01/2023,16,5.96,5.12
Calabrezza Saussage kg,07/01/2023,10,13.43,9.97
Mozarella Cheese kg,07/01/2023,7,26.38,15.22
Dish Soap Ype Clear 500ml,07/01/2023,22,1.82,1.3
Dish Soap Ype Apple 500ml,07/01/2023,5,1.79,1.3
Dish soap Ype Neutro 500ml,07/01/2023,6,1.79,1.3
Rice Albaruska Pilao 5kg,07/01/2023,10,17.41,14.85
Powder juice Frech orange 10gr,07/01/2023,5,0.5,0.33
Tomato sauce Elefante 130g,07/01/2023,14,2.29,1.59
Coffee Mineiro 500gr,07/01/2023,16,7.04,5.5
Milky Drink Quatazinho Chocolate 200ml,07/01/2023,5,0.99,0.56
Fries JR Fritas 300g,07/01/2023,5,7.1,5.5
Coffee Mantiqueira 500g,07/01/2023,15,8.38,6.29
Coffee Santa Barbara kg,07/01/2023,7,7.29,5.24
Chicken Steak Perdigao 100gr,07/01/2023,25,1.15,0.85
Corn Flour Mimoso 1kg,07/01/2023,20,1.97,1.3
Beer Clacial 473ml,07/01/2023,55,2.14,1.95
Salt Marlin 1kg,07/01/2023,35,1.18,0.8
Soy Oil Soya 900ml,07/01/2023,21,3.79,3.25
Wheat Flour Vilma 1kg,07/01/2023,19,3.21,2.71
"Beef ""Acem cut"" kg",07/01/2023,14,18.51,12.65
Bologna Bolonha kg,07/01/2023,2,16.96,11.14
Beer Skol 473ml,07/01/2023,80,2.79,2.45
Corn Flour Moinho Dagua 1kg,07/01/2023,12,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,07/01/2023,47,6.4,4.13
Soda Coca Cola 2lt,07/01/2023,27,6.62,5.69
Common Bread kg,07/01/2023,109,7.98,3.92
Tomato Kg,07/01/2023,79,5.32,3.5
Potato kg,07/01/2023,94,4.79,2.81
Zucchini kg,07/01/2023,1,2.59,1.38
Cabbage kg,07/01/2023,7,2.49,1.55
Beetroot kg,07/01/2023,4,3.75,2
Yam kg,07/01/2023,9,3.65,2
Green Pepper kg,07/01/2023,9,3.73,2.5
Sweet potato kg,07/01/2023,6,3.19,1.29
Carrots kg,07/01/2023,13,3.44,2.97
Pumpkin kg,07/01/2023,26,2.55,1
Oranges kg,07/01/2023,15,2.74,1.78
Garlic Kg,07/01/2023,14,15.1,10.5
Onion Kg,07/01/2023,35,2.85,1.88
Apple Kg,07/01/2023,17,4.41,2.84
Banana kg,07/01/2023,29,2.55,1.62
Lettuce kg,07/01/2023,55,1.34,0.83
Soy Oil Corcovado 900ml,07/01/2023,43,3.6,2.98
"Pork ""Pernil cut"" boneless kg",07/01/2023,38,9.93,8.9
Ground beef kg,07/01/2023,36,12.51,8.97
Generic Ham kg,07/01/2023,4,16.45,10.62
Sweet Bread kg,08/01/2023,4,8.98,18.99
Frozen Chicken kg,08/01/2023,30,6,4.53
Salsage kg,08/01/2023,16,5.97,5.11
Calabrezza Saussage kg,08/01/2023,4,13.27,9.68
Mozarella Cheese kg,08/01/2023,7,26.61,18.76
Dish Soap Ype Clear 500ml,08/01/2023,3,1.84,1.3
Dish Soap Ype Apple 500ml,08/01/2023,6,1.79,1.3
Dish soap Ype Neutro 500ml,08/01/2023,2,1.79,1.3
Rice Albaruska Pilao 5kg,08/01/2023,10,16.99,15.17
Tomato sauce Elefante 130g,08/01/2023,1,2.15,1.63
Coffee Mineiro 500gr,08/01/2023,6,6.69,5.5
Milky Drink Quatazinho Chocolate 200ml,08/01/2023,8,1.02,0.56
Fries JR Fritas 300g,08/01/2023,9,7.43,5.5
Coffee Mantiqueira 500g,08/01/2023,14,8.26,6.29
Chicken Steak Perdigao 100gr,08/01/2023,19,1.1,0.85
Corn Flour Mimoso 1kg,08/01/2023,17,1.79,1.3
Beer Clacial 473ml,08/01/2023,121,1.99,1.91
Salt Marlin 1kg,08/01/2023,22,1.16,0.79
Soy Oil Soya 900ml,08/01/2023,11,3.86,3.09
Wheat Flour Vilma 1kg,08/01/2023,20,3.03,2.72
"Beef ""Acem cut"" kg",08/01/2023,11,18.45,14.09
Bologna Bolonha kg,08/01/2023,1,16.95,11.14
Beer Skol 473ml,08/01/2023,27,2.79,2.45
Corn Flour Moinho Dagua 1kg,08/01/2023,7,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,08/01/2023,34,5.95,4.13
Common Bread kg,08/01/2023,58,8,3.92
Tomato Kg,08/01/2023,31,4.98,3.5
Potato kg,08/01/2023,49,4.68,3.51
Cabbage kg,08/01/2023,3,2.49,1.66
Beetroot kg,08/01/2023,5,3.75,2.45
Yam kg,08/01/2023,1,3.39,2
Green Pepper kg,08/01/2023,6,3.81,2.5
Sweet potato kg,08/01/2023,5,3.02,2
Carrots kg,08/01/2023,11,3.38,2.29
Pumpkin kg,08/01/2023,13,2.49,1.25
Oranges kg,08/01/2023,15,2.65,1.8
Garlic Kg,08/01/2023,4,14.97,10.05
Onion Kg,08/01/2023,20,2.85,1.89
Apple Kg,08/01/2023,13,4.29,2.9
Banana kg,08/01/2023,16,2.47,1.5
Lettuce kg,08/01/2023,14,1.3,0.85
Soy Oil Corcovado 900ml,08/01/2023,23,3.5,2.98
"Pork ""Pernil cut"" boneless kg",08/01/2023,33,9.96,6.8
Ground beef kg,08/01/2023,17,12.49,7
Sweet Bread kg,09/01/2023,10,9,2.25
Frozen Chicken kg,09/01/2023,31,6.09,4.91
Salsage kg,09/01/2023,13,6.07,5.1
Calabrezza Saussage kg,09/01/2023,6,13.6,10.11
Mozarella Cheese kg,09/01/2023,3,27.02,15.09
Dish Soap Ype Clear 500ml,09/01/2023,23,1.84,1.3
Dish Soap Ype Apple 500ml,09/01/2023,11,1.85,1.3
Dish soap Ype Neutro 500ml,09/01/2023,10,1.79,1.3
Rice Albaruska Pilao 5kg,09/01/2023,37,17.13,14.85
Powder juice Frech orange 10gr,09/01/2023,3,0.5,0.33
Tomato sauce Elefante 130g,09/01/2023,21,2.16,1.59
Coffee Mineiro 500gr,09/01/2023,18,7.02,5.5
Milky Drink Quatazinho Chocolate 200ml,09/01/2023,17,0.87,0.56
Fries JR Fritas 300g,09/01/2023,7,7.1,5.5
Coffee Mantiqueira 500g,09/01/2023,25,8.59,6.29
Coffee Santa Barbara kg,09/01/2023,9,6.86,5.24
Chicken Steak Perdigao 100gr,09/01/2023,22,1.16,0.85
Corn Flour Mimoso 1kg,09/01/2023,34,1.82,1.29
Beer Clacial 473ml,09/01/2023,8,1.99,1.95
Salt Marlin 1kg,09/01/2023,43,1.16,0.8
Soy Oil Soya 900ml,09/01/2023,19,3.81,3.25
Wheat Flour Vilma 1kg,09/01/2023,62,3.02,2.72
"Beef ""Acem cut"" kg",09/01/2023,9,19.08,12.66
Bologna Bolonha kg,09/01/2023,2,17.59,11.08
Beer Skol 473ml,09/01/2023,5,2.79,2.45
Corn Flour Moinho Dagua 1kg,09/01/2023,14,3.24,2.2
Soda Coca Cola 2lt reciclable bottle,09/01/2023,23,6.18,4.13
Common Bread kg,09/01/2023,82,8.04,3.92
Tomato Kg,09/01/2023,45,5.08,3.5
Potato kg,09/01/2023,53,4.79,2.82
Cabbage kg,09/01/2023,20,2.5,1.66
Beetroot kg,09/01/2023,9,3.86,2
Yam kg,09/01/2023,14,3.63,2.01
Green Pepper kg,09/01/2023,5,3.73,2.5
Sweet potato kg,09/01/2023,8,3.06,1.29
Carrots kg,09/01/2023,19,3.45,2.96
Pumpkin kg,09/01/2023,33,2.59,1
Oranges kg,09/01/2023,10,2.65,1.8
Garlic Kg,09/01/2023,9,15.25,10.5
Onion Kg,09/01/2023,41,2.87,1.89
Apple Kg,09/01/2023,28,4.35,2.81
Banana kg,09/01/2023,41,2.52,1.57
Lettuce kg,09/01/2023,53,1.32,0.83
Soy Oil Corcovado 900ml,09/01/2023,68,3.55,2.99
"Pork ""Pernil cut"" boneless kg",09/01/2023,25,10.06,8.9
Ham kg,09/01/2023,2,20.31,12.36
Generic Ham kg,09/01/2023,2,16.46,10.62
Sweet Bread kg,10/01/2023,16,8.98,2.24
Frozen Chicken kg,10/01/2023,47,6.12,4.91
Salsage kg,10/01/2023,19,6.09,5.1
Calabrezza Saussage kg,10/01/2023,6,13.55,10.02
Mozarella Cheese kg,10/01/2023,7,27.16,15.58
Dish Soap Ype Clear 500ml,10/01/2023,23,1.84,1.3
Dish Soap Ype Apple 500ml,10/01/2023,6,1.81,1.3
Dish soap Ype Neutro 500ml,10/01/2023,11,1.95,1.3
Rice Albaruska Pilao 5kg,10/01/2023,9,17.26,14.87
Powder juice Frech orange 10gr,10/01/2023,29,0.51,0.33
Tomato sauce Elefante 130g,10/01/2023,7,2.11,1.58
Coffee Mineiro 500gr,10/01/2023,34,6.95,5.5
Milky Drink Quatazinho Chocolate 200ml,10/01/2023,15,1,0.56
Fries JR Fritas 300g,10/01/2023,13,7.49,5.5
Coffee Mantiqueira 500g,10/01/2023,17,8.54,6.29
Coffee Santa Barbara kg,10/01/2023,27,7.24,5.24
Chicken Steak Perdigao 100gr,10/01/2023,63,1.15,0.85
Corn Flour Mimoso 1kg,10/01/2023,61,1.82,1.26
Beer Clacial 473ml,10/01/2023,29,1.99,1.95
Salt Marlin 1kg,10/01/2023,41,1.19,0.8
Soy Oil Soya 900ml,10/01/2023,20,3.97,3.23
Wheat Flour Vilma 1kg,10/01/2023,47,3.06,2.72
"Beef ""Acem cut"" kg",10/01/2023,11,19,12.7
Bologna Bolonha kg,10/01/2023,3,16.99,11.09
Beer Skol 473ml,10/01/2023,23,2.79,2.45
Corn Flour Moinho Dagua 1kg,10/01/2023,24,3.27,2.2
Soda Coca Cola 2lt reciclable bottle,10/01/2023,9,6.84,4.13
Common Bread kg,10/01/2023,79,8.03,3.92
Tomato Kg,10/01/2023,50,5.02,3.5
Potato kg,10/01/2023,82,4.26,2.85
Zucchini kg,10/01/2023,9,1.73,1.42
Cabbage kg,10/01/2023,16,2.5,1.59
Beetroot kg,10/01/2023,17,3.85,2
Yam kg,10/01/2023,21,3.53,2.02
Green Pepper kg,10/01/2023,10,3.86,2.5
Sweet potato kg,10/01/2023,10,2.08,1.29
Carrots kg,10/01/2023,22,3.51,2.98
Pumpkin kg,10/01/2023,44,1.59,1
Oranges kg,10/01/2023,14,2.74,1.75
Garlic Kg,10/01/2023,15,15.17,10.5
Onion Kg,10/01/2023,27,2.88,1.88
